timestamp,event,client,seq_num,details
1780647002.6215024,RECV,127.0.0.1:58346,102,DATA
1780647002.6220405,WRITE,127.0.0.1:58346,102,512 bytes
1780647002.622547,ACK_SENT,127.0.0.1:58346,102,ACK
1780647002.6230521,RECV,127.0.0.1:58346,103,DATA
1780647002.6235833,WRITE,127.0.0.1:58346,103,512 bytes
1780647002.624015,ACK_SENT,127.0.0.1:58346,103,ACK
1780647002.6244283,RECV,127.0.0.1:58346,104,DATA
1780647002.6248972,WRITE,127.0.0.1:58346,104,512 bytes
1780647002.6252542,ACK_SENT,127.0.0.1:58346,104,ACK
1780647002.625718,RECV,127.0.0.1:58346,105,DATA
1780647002.6262684,WRITE,127.0.0.1:58346,105,512 bytes
1780647002.6266172,ACK_SENT,127.0.0.1:58346,105,ACK
1780647002.6271093,RECV,127.0.0.1:58346,106,DATA
1780647002.6277378,WRITE,127.0.0.1:58346,106,512 bytes
1780647002.6283529,ACK_SENT,127.0.0.1:58346,106,ACK
1780647002.6287475,RECV,127.0.0.1:58346,107,DATA
1780647002.6293845,WRITE,127.0.0.1:58346,107,512 bytes
1780647002.6297927,ACK_SENT,127.0.0.1:58346,107,ACK
1780647002.63025,RECV,127.0.0.1:58346,108,DATA
1780647002.6306388,WRITE,127.0.0.1:58346,108,512 bytes
1780647002.6309395,ACK_SENT,127.0.0.1:58346,108,ACK
1780647002.6312246,RECV,127.0.0.1:58346,109,DATA
1780647002.6317737,WRITE,127.0.0.1:58346,109,512 bytes
1780647002.6321557,ACK_SENT,127.0.0.1:58346,109,ACK
1780647002.632526,RECV,127.0.0.1:58346,110,DATA
1780647002.6330016,WRITE,127.0.0.1:58346,110,512 bytes
1780647002.633354,ACK_SENT,127.0.0.1:58346,110,ACK
1780647002.633934,RECV,127.0.0.1:58346,111,DATA
1780647002.6345763,WRITE,127.0.0.1:58346,111,512 bytes
1780647002.6350436,ACK_SENT,127.0.0.1:58346,111,ACK
1780647002.636137,RECV,127.0.0.1:58346,112,DATA
1780647002.6370199,WRITE,127.0.0.1:58346,112,512 bytes
1780647002.6379402,ACK_SENT,127.0.0.1:58346,112,ACK
1780647002.638475,RECV,127.0.0.1:58346,113,DATA
1780647002.639166,WRITE,127.0.0.1:58346,113,512 bytes
1780647002.6395879,ACK_SENT,127.0.0.1:58346,113,ACK
1780647002.6400044,RECV,127.0.0.1:58346,114,DATA
1780647002.6404374,WRITE,127.0.0.1:58346,114,512 bytes
1780647002.6407435,ACK_SENT,127.0.0.1:58346,114,ACK
1780647002.6411014,RECV,127.0.0.1:58346,115,DATA
1780647002.6414583,WRITE,127.0.0.1:58346,115,512 bytes
1780647002.6417606,ACK_SENT,127.0.0.1:58346,115,ACK
1780647002.6420953,RECV,127.0.0.1:58346,116,DATA
1780647002.6425245,WRITE,127.0.0.1:58346,116,512 bytes
1780647002.6429267,ACK_SENT,127.0.0.1:58346,116,ACK
1780647002.643313,RECV,127.0.0.1:58346,117,DATA
1780647002.6439707,WRITE,127.0.0.1:58346,117,512 bytes
1780647002.644373,ACK_SENT,127.0.0.1:58346,117,ACK
1780647002.6447465,RECV,127.0.0.1:58346,118,DATA
1780647002.6451275,WRITE,127.0.0.1:58346,118,512 bytes
1780647002.645518,ACK_SENT,127.0.0.1:58346,118,ACK
1780647002.6460278,RECV,127.0.0.1:58346,119,DATA
1780647002.64639,WRITE,127.0.0.1:58346,119,512 bytes
1780647002.6467454,ACK_SENT,127.0.0.1:58346,119,ACK
1780647002.647248,RECV,127.0.0.1:58346,120,DATA
1780647002.6477203,WRITE,127.0.0.1:58346,120,512 bytes
1780647002.6480825,ACK_SENT,127.0.0.1:58346,120,ACK
1780647002.6484776,RECV,127.0.0.1:58346,121,DATA
1780647002.649016,WRITE,127.0.0.1:58346,121,512 bytes
1780647002.649508,ACK_SENT,127.0.0.1:58346,121,ACK
1780647002.6499386,RECV,127.0.0.1:58346,122,DATA
1780647002.6503654,WRITE,127.0.0.1:58346,122,512 bytes
1780647002.651394,ACK_SENT,127.0.0.1:58346,122,ACK
1780647002.651918,RECV,127.0.0.1:58346,123,DATA
1780647002.6528344,WRITE,127.0.0.1:58346,123,512 bytes
1780647002.653399,ACK_SENT,127.0.0.1:58346,123,ACK
1780647002.6539176,RECV,127.0.0.1:58346,124,DATA
1780647002.654383,WRITE,127.0.0.1:58346,124,512 bytes
1780647002.6548004,ACK_SENT,127.0.0.1:58346,124,ACK
1780647002.65521,RECV,127.0.0.1:58346,125,DATA
1780647002.6557343,WRITE,127.0.0.1:58346,125,512 bytes
1780647002.6562645,ACK_SENT,127.0.0.1:58346,125,ACK
1780647002.6566513,RECV,127.0.0.1:58346,126,DATA
1780647002.6572907,WRITE,127.0.0.1:58346,126,512 bytes
1780647002.657722,ACK_SENT,127.0.0.1:58346,126,ACK
1780647002.6581576,RECV,127.0.0.1:58346,127,DATA
1780647002.6585836,WRITE,127.0.0.1:58346,127,512 bytes
1780647002.658932,ACK_SENT,127.0.0.1:58346,127,ACK
