timestamp,event,seq_num,details
1780652081.02192,ACK_RECEIVED,111,ACK
1780652081.022351,SEND,112,"DATA, attempt=1"
1780652081.023393,ACK_RECEIVED,112,ACK
1780652081.0236425,SEND,113,"DATA, attempt=1"
1780652081.0246317,ACK_RECEIVED,113,ACK
1780652081.0248735,SEND,114,"DATA, attempt=1"
1780652081.0255983,ACK_RECEIVED,114,ACK
1780652081.0258596,SEND,115,"DATA, attempt=1"
1780652081.026475,ACK_RECEIVED,115,ACK
1780652081.0267045,SEND,116,"DATA, attempt=1"
1780652081.0275214,ACK_RECEIVED,116,ACK
1780652081.027837,SEND,117,"DATA, attempt=1"
1780652081.0285816,ACK_RECEIVED,117,ACK
1780652081.0288343,SEND,118,"DATA, attempt=1"
1780652081.02971,ACK_RECEIVED,118,ACK
1780652081.029969,SEND,119,"DATA, attempt=1"
1780652081.031217,ACK_RECEIVED,119,ACK
1780652081.0314233,SEND,120,"DATA, attempt=1"
1780652081.0321128,ACK_RECEIVED,120,ACK
1780652081.032363,SEND,121,"DATA, attempt=1"
1780652081.033011,ACK_RECEIVED,121,ACK
1780652081.0332036,SEND,122,"DATA, attempt=1"
1780652081.0337083,ACK_RECEIVED,122,ACK
1780652081.0338693,SEND,123,"DATA, attempt=1"
1780652081.0343454,ACK_RECEIVED,123,ACK
1780652081.0345795,SEND,124,"DATA, attempt=1"
1780652081.0352502,ACK_RECEIVED,124,ACK
1780652081.035461,SEND,125,"DATA, attempt=1"
1780652081.0374336,ACK_RECEIVED,125,ACK
1780652081.0382755,SEND,126,"DATA, attempt=1"
1780652081.0394964,ACK_RECEIVED,126,ACK
1780652081.0397537,SEND,127,"DATA, attempt=1"
1780652081.0404875,ACK_RECEIVED,127,ACK
1780652081.0407038,SEND,128,"DATA, attempt=1"
1780652081.0413244,ACK_RECEIVED,128,ACK
1780652081.041568,SEND,129,"DATA, attempt=1"
1780652081.0421784,ACK_RECEIVED,129,ACK
1780652081.042378,SEND,130,"DATA, attempt=1"
1780652081.04295,ACK_RECEIVED,130,ACK
1780652081.0431907,SEND,131,"DATA, attempt=1"
1780652081.04397,ACK_RECEIVED,131,ACK
1780652081.0441768,SEND,132,"DATA, attempt=1"
1780652081.0448227,ACK_RECEIVED,132,ACK
1780652081.0450265,SEND,133,"DATA, attempt=1"
1780652081.0461342,ACK_RECEIVED,133,ACK
1780652081.0463748,SEND,134,"DATA, attempt=1"
1780652081.046928,ACK_RECEIVED,134,ACK
1780652081.047123,SEND,135,"DATA, attempt=1"
1780652081.0476236,ACK_RECEIVED,135,ACK
1780652081.0478048,SEND,136,"DATA, attempt=1"
1780652081.0483131,ACK_RECEIVED,136,ACK
1780652081.0485084,SEND,137,"DATA, attempt=1"
1780652081.049685,ACK_RECEIVED,137,ACK
1780652081.0499053,SEND,138,"DATA, attempt=1"
1780652081.0507274,ACK_RECEIVED,138,ACK
1780652081.0509536,SEND,139,"DATA, attempt=1"
1780652081.0515432,ACK_RECEIVED,139,ACK
1780652081.0517344,SEND,140,"DATA, attempt=1"
1780652081.0523932,ACK_RECEIVED,140,ACK
1780652081.0528135,SEND,141,"DATA, attempt=1"
1780652081.0554988,ACK_RECEIVED,141,ACK
1780652081.0561125,SEND,142,"DATA, attempt=1"
1780652081.0570474,ACK_RECEIVED,142,ACK
1780652081.0572994,SEND,143,"DATA, attempt=1"
1780652081.0579429,ACK_RECEIVED,143,ACK
1780652081.0581183,SEND,144,"DATA, attempt=1"
1780652081.05867,ACK_RECEIVED,144,ACK
1780652081.0588405,SEND,145,"DATA, attempt=1"
1780652081.05937,ACK_RECEIVED,145,ACK
1780652081.059556,SEND,146,"DATA, attempt=1"
1780652081.0601032,ACK_RECEIVED,146,ACK
1780652081.0602884,SEND,147,"DATA, attempt=1"
1780652081.0612977,ACK_RECEIVED,147,ACK
1780652081.0615067,SEND,148,"DATA, attempt=1"
1780652081.0624006,ACK_RECEIVED,148,ACK
1780652081.062625,SEND,149,"DATA, attempt=1"
1780652081.063189,ACK_RECEIVED,149,ACK
1780652081.0633843,SEND,150,"DATA, attempt=1"
1780652081.0639641,ACK_RECEIVED,150,ACK
1780652081.0641909,SEND,151,"DATA, attempt=1"
1780652081.0647554,ACK_RECEIVED,151,ACK
1780652081.0649614,SEND,152,"DATA, attempt=1"
1780652081.065513,ACK_RECEIVED,152,ACK
1780652081.06569,SEND,153,"DATA, attempt=1"
1780652081.0662344,ACK_RECEIVED,153,ACK
1780652081.0664506,SEND,154,"DATA, attempt=1"
1780652081.0672693,ACK_RECEIVED,154,ACK
1780652081.0676386,SEND,155,"DATA, attempt=1"
1780652081.0683293,ACK_RECEIVED,155,ACK
1780652081.0685613,SEND,156,"DATA, attempt=1"
1780652081.0697072,ACK_RECEIVED,156,ACK
1780652081.070515,SEND,157,"DATA, attempt=1"
1780652081.0721762,ACK_RECEIVED,157,ACK
1780652081.0724313,SEND,158,"DATA, attempt=1"
1780652081.0732076,ACK_RECEIVED,158,ACK
1780652081.0734897,SEND,159,"DATA, attempt=1"
1780652081.074627,ACK_RECEIVED,159,ACK
1780652081.0748606,SEND,160,"DATA, attempt=1"
1780652081.0754223,ACK_RECEIVED,160,ACK
1780652081.0756361,SEND,161,"DATA, attempt=1"
1780652081.0762389,ACK_RECEIVED,161,ACK
1780652081.0765266,SEND,162,"DATA, attempt=1"
1780652081.0771306,ACK_RECEIVED,162,ACK
1780652081.077346,SEND,163,"DATA, attempt=1"
1780652081.0778346,ACK_RECEIVED,163,ACK
1780652081.0780463,SEND,164,"DATA, attempt=1"
1780652081.078527,ACK_RECEIVED,164,ACK
1780652081.0787346,SEND,165,"DATA, attempt=1"
1780652081.0801497,ACK_RECEIVED,165,ACK
1780652081.080373,SEND,166,"DATA, attempt=1"
1780652081.081075,ACK_RECEIVED,166,ACK
1780652081.0813224,SEND,167,"DATA, attempt=1"
1780652081.0818326,ACK_RECEIVED,167,ACK
1780652081.082084,SEND,168,"DATA, attempt=1"
1780652081.082543,ACK_RECEIVED,168,ACK
1780652081.0827339,SEND,169,"DATA, attempt=1"
1780652081.0832655,ACK_RECEIVED,169,ACK
1780652081.0834775,SEND,170,"DATA, attempt=1"
1780652081.0847583,ACK_RECEIVED,170,ACK
1780652081.0850646,SEND,171,"DATA, attempt=1"
1780652081.0864875,ACK_RECEIVED,171,ACK
1780652081.0871546,SEND,172,"DATA, attempt=1"
1780652081.0894039,ACK_RECEIVED,172,ACK
1780652081.0898478,SEND,173,"DATA, attempt=1"
1780652081.0913472,ACK_RECEIVED,173,ACK
1780652081.0915687,SEND,174,"DATA, attempt=1"
1780652081.0922143,ACK_RECEIVED,174,ACK
1780652081.0924437,SEND,175,"DATA, attempt=1"
1780652081.0930693,ACK_RECEIVED,175,ACK
1780652081.0932312,SEND,176,"DATA, attempt=1"
1780652081.0938423,ACK_RECEIVED,176,ACK
1780652081.0940347,SEND,177,"DATA, attempt=1"
1780652081.0951285,ACK_RECEIVED,177,ACK
1780652081.095326,SEND,178,"DATA, attempt=1"
1780652081.0959432,ACK_RECEIVED,178,ACK
1780652081.0961227,SEND,179,"DATA, attempt=1"
1780652081.0966654,ACK_RECEIVED,179,ACK
1780652081.0970223,SEND,180,"DATA, attempt=1"
1780652081.0977712,ACK_RECEIVED,180,ACK
1780652081.0979712,SEND,181,"DATA, attempt=1"
1780652081.09862,ACK_RECEIVED,181,ACK
1780652081.0988047,SEND,182,"DATA, attempt=1"
1780652081.099265,ACK_RECEIVED,182,ACK
1780652081.0994763,SEND,183,"DATA, attempt=1"
1780652081.1003182,ACK_RECEIVED,183,ACK
1780652081.100588,SEND,184,"DATA, attempt=1"
1780652081.10119,ACK_RECEIVED,184,ACK
1780652081.101365,SEND,185,"DATA, attempt=1"
1780652081.1019561,ACK_RECEIVED,185,ACK
1780652081.1021764,SEND,186,"DATA, attempt=1"
1780652081.1043172,ACK_RECEIVED,186,ACK
1780652081.1048653,SEND,187,"DATA, attempt=1"
1780652081.1065176,ACK_RECEIVED,187,ACK
1780652081.10684,SEND,188,"DATA, attempt=1"
1780652081.1076806,ACK_RECEIVED,188,ACK
1780652081.107908,SEND,189,"DATA, attempt=1"
1780652081.1086004,ACK_RECEIVED,189,ACK
1780652081.108815,SEND,190,"DATA, attempt=1"
1780652081.1093419,ACK_RECEIVED,190,ACK
1780652081.1095972,SEND,191,"DATA, attempt=1"
1780652081.1101558,ACK_RECEIVED,191,ACK
1780652081.11034,SEND,192,"DATA, attempt=1"
1780652081.1112041,ACK_RECEIVED,192,ACK
1780652081.1114142,SEND,193,"DATA, attempt=1"
1780652081.1121204,ACK_RECEIVED,193,ACK
1780652081.1123605,SEND,194,"DATA, attempt=1"
1780652081.113077,ACK_RECEIVED,194,ACK
1780652081.1133702,SEND,195,"DATA, attempt=1"
1780652081.1139712,ACK_RECEIVED,195,ACK
1780652081.114182,SEND,196,"DATA, attempt=1"
1780652081.1147606,ACK_RECEIVED,196,ACK
1780652081.114938,SEND,197,"DATA, attempt=1"
1780652081.1154373,ACK_RECEIVED,197,ACK
1780652081.115621,SEND,198,"DATA, attempt=1"
1780652081.116104,ACK_RECEIVED,198,ACK
1780652081.1163673,SEND,199,"DATA, attempt=1"
1780652081.1169195,ACK_RECEIVED,199,ACK
1780652081.1170902,SEND,200,"DATA, attempt=1"
1780652081.1176558,ACK_RECEIVED,200,ACK
1780652081.1179173,SEND,201,"DATA, attempt=1"
1780652081.1195683,ACK_RECEIVED,201,ACK
1780652081.1199934,SEND,202,"DATA, attempt=1"
1780652081.1222026,ACK_RECEIVED,202,ACK
1780652081.1224072,SEND,203,"DATA, attempt=1"
1780652081.12329,ACK_RECEIVED,203,ACK
1780652081.1234965,SEND,204,"DATA, attempt=1"
1780652081.1243346,ACK_RECEIVED,204,ACK
1780652081.124618,SEND,205,"DATA, attempt=1"
1780652081.1253757,ACK_RECEIVED,205,ACK
1780652081.125618,SEND,206,"DATA, attempt=1"
1780652081.1261244,ACK_RECEIVED,206,ACK
1780652081.1263251,SEND,207,"DATA, attempt=1"
1780652081.1267931,ACK_RECEIVED,207,ACK
1780652081.1269944,SEND,208,"DATA, attempt=1"
1780652081.127556,ACK_RECEIVED,208,ACK
1780652081.1277378,SEND,209,"DATA, attempt=1"
1780652081.1283295,ACK_RECEIVED,209,ACK
